mass_A
t	x	y
7.397390000E1	1.568621471E3	6.294388884E2
7.399058333E1	1.566329209E3	6.265397353E2
7.400726667E1	1.559314534E3	6.169067784E2
7.402395000E1	1.548006593E3	6.009466703E2
7.404063333E1	1.531757548E3	5.791912271E2
7.405731667E1	1.509952978E3	5.529262664E2
7.407400000E1	1.482235100E3	5.227943398E2
7.409068333E1	1.447714937E3	4.890917583E2
7.410736667E1	1.405779366E3	4.546742148E2
7.412405000E1	1.356393653E3	4.205658971E2
7.414073333E1	1.299693928E3	3.886707360E2
7.415741667E1	1.235796425E3	3.605116052E2
7.417410000E1	1.166463272E3	3.372753400E2
7.419078333E1	1.093919747E3	3.220934880E2
7.420746667E1	1.018173510E3	3.147241943E2
7.422415000E1	9.436754483E2	3.151309735E2
7.424083333E1	8.697287276E2	3.233076996E2
7.425751667E1	7.983871578E2	3.391013586E2
7.427420000E1	7.323087144E2	3.609814736E2
7.429088333E1	6.722233857E2	3.873858536E2
7.430756667E1	6.183835526E2	4.173871753E2
7.432425000E1	5.717667931E2	4.492782843E2
7.434093333E1	5.301139525E2	4.826575587E2
7.435761667E1	4.962259384E2	5.148258900E2
7.437430000E1	4.679883395E2	5.446814422E2
7.439098333E1	4.463167988E2	5.709466689E2
7.440766667E1	4.300170484E2	5.930213731E2
7.442435000E1	4.175644142E2	6.106879482E2
7.444103333E1	4.097079994E2	6.228865840E2
7.445771667E1	4.059535688E2	6.289793300E2
7.447440000E1	4.058968037E2	6.290097616E2
7.449108333E1	4.099823317E2	6.230626903E2
7.450776667E1	4.180930047E2	6.111099364E2
7.452445000E1	4.316488089E2	5.930994047E2
7.454113333E1	4.480935341E2	5.709848209E2
7.455781667E1	4.717128689E2	5.431240726E2
7.457450000E1	5.001177534E2	5.129498629E2
7.459118333E1	5.359910930E2	4.791938579E2
7.460786667E1	5.782506127E2	4.450565328E2
7.462455000E1	6.280105806E2	4.127548011E2
7.464123333E1	6.855680719E2	3.813478317E2
7.465791667E1	7.479199317E2	3.551189460E2
7.467460000E1	8.156476907E2	3.349322272E2
7.469128333E1	8.861067395E2	3.208088149E2
7.470796667E1	9.578762711E2	3.141642292E2
7.472465000E1	1.030094486E3	3.150254590E2
7.474133333E1	1.099972385E3	3.230124396E2
7.475801667E1	1.166574727E3	3.372852821E2
7.477470000E1	1.229613835E3	3.571698708E2
7.479138333E1	1.286041378E3	3.812453571E2
7.480806667E1	1.337654756E3	4.089155310E2
7.482475000E1	1.381899998E3	4.370368812E2
7.484143333E1	1.419879344E3	4.653085784E2
7.485811667E1	1.451640825E3	4.928199731E2
7.487480000E1	1.478130315E3	5.185954158E2
7.489148333E1	1.499150333E3	5.408102219E2
7.490816667E1	1.514227348E3	5.586274996E2
7.492485000E1	1.525213644E3	5.711079049E2
7.494153333E1	1.531077743E3	5.790313414E2
7.495821667E1	1.532833615E3	5.811984579E2
7.497490000E1	1.530322546E3	5.774953503E2
7.499158333E1	1.523060405E3	5.690102946E2
7.500826667E1	1.510963192E3	5.550225884E2
7.502495000E1	1.493946798E3	5.365716449E2
7.504163333E1	1.471503141E3	5.131654594E2
7.505831667E1	1.443189992E3	4.868335279E2
7.507500000E1	1.408519003E3	4.573633781E2
7.509168333E1	1.366856478E3	4.273876226E2
7.510836667E1	1.319190497E3	3.989939273E2
7.512505000E1	1.265087640E3	3.725556172E2
7.514173333E1	1.204956183E3	3.493230978E2
7.515841667E1	1.140658181E3	3.310729879E2
7.517510000E1	1.072774336E3	3.191399228E2
7.519178333E1	1.003347205E3	3.138447224E2
7.520846667E1	9.334911956E2	3.152285078E2
7.522515000E1	8.669349146E2	3.239487501E2
7.524183333E1	8.012998745E2	3.385732590E2
7.525851667E1	7.411887301E2	3.583115680E2
7.527520000E1	6.852049290E2	3.818011171E2
7.529188333E1	6.353012404E2	4.083458800E2
7.530856667E1	5.914045319E2	4.361129041E2
7.532525000E1	5.534541472E2	4.641524923E2
7.534193333E1	5.210765373E2	4.917479360E2
7.535861667E1	4.956576363E2	5.161940475E2
7.537530000E1	4.750238841E2	5.380856625E2
7.539198333E1	4.592163615E2	5.561156015E2
7.540866667E1	4.481137718E2	5.699731217E2
7.542535000E1	4.406535614E2	5.795684397E2
7.544203333E1	4.389580958E2	5.822771495E2
7.545871667E1	4.405796090E2	5.801764260E2
7.547540000E1	4.451659325E2	5.737694463E2
7.549208333E1	4.547729538E2	5.616461912E2
7.550876667E1	4.705936867E2	5.439749258E2
7.552545000E1	4.906262045E2	5.220877559E2
7.554213333E1	5.150424110E2	4.979094121E2
7.555881667E1	5.468834490E2	4.699859092E2
7.557550000E1	5.833515403E2	4.417128476E2
7.559218333E1	6.273599581E2	4.123907173E2
7.560886667E1	6.766789869E2	3.854414850E2
7.562555000E1	7.328934942E2	3.604006967E2
7.564223333E1	7.929892162E2	3.401307687E2
7.565891667E1	8.568301046E2	3.254537381E2
7.567560000E1	9.226169313E2	3.159546897E2
7.569228333E1	9.874889020E2	3.127822242E2
7.570896667E1	1.054620104E3	3.169336951E2
7.572565000E1	1.117217846E3	3.259038461E2
7.574233333E1	1.176956797E3	3.403267908E2
7.575901667E1	1.233074929E3	3.590868083E2
7.577570000E1	1.283666125E3	3.807310634E2
7.579238333E1	1.329379629E3	4.047315343E2
7.580906667E1	1.368679808E3	4.291004935E2
7.582575000E1	1.402766927E3	4.529947323E2
7.584243333E1	1.430943198E3	4.753150176E2
7.585911667E1	1.454443484E3	4.966330956E2
7.587580000E1	1.472179017E3	5.131274117E2
7.589248333E1	1.484733109E3	5.265222917E2
7.590916667E1	1.492855248E3	5.350078137E2
7.592585000E1	1.496380837E3	5.389794257E2
7.594253333E1	1.495043022E3	5.374891433E2
7.595921667E1	1.489666433E3	5.319660660E2
7.597590000E1	1.479666201E3	5.214329070E2
7.599258333E1	1.465003355E3	5.070834943E2
7.600926667E1	1.445047115E3	4.887943971E2
7.602595000E1	1.419474980E3	4.667604236E2
7.604263333E1	1.387654389E3	4.429514490E2
7.605931667E1	1.349826824E3	4.172188453E2
7.607600000E1	1.306915875E3	3.927850864E2
7.609268333E1	1.257481933E3	3.691822940E2
7.610936667E1	1.203499531E3	3.488062649E2
7.612605000E1	1.145797401E3	3.326929594E2
7.614273333E1	1.084438655E3	3.209303987E2
7.615941667E1	1.020359053E3	3.148338927E2
7.617610000E1	9.572977310E2	3.147219191E2
7.619278333E1	8.945015387E2	3.204201784E2
7.620946667E1	8.331270477E2	3.307266995E2
7.622615000E1	7.763134772E2	3.464803691E2
7.624283333E1	7.224142704E2	3.654124693E2
7.625951667E1	6.739902164E2	3.871790058E2
7.627620000E1	6.305114079E2	4.109406678E2
7.629288333E1	5.930646149E2	4.351250720E2
7.630956667E1	5.604437528E2	4.589859073E2
7.632625000E1	5.337891327E2	4.811248913E2
7.634293333E1	5.118070780E2	5.010245970E2
7.635961667E1	4.952046617E2	5.171955745E2
7.637630000E1	4.825099070E2	5.308072534E2
7.639298333E1	4.750651298E2	5.390778164E2
7.640966667E1	4.711945180E2	5.431024868E2
7.642635000E1	4.718479190E2	5.429428092E2
7.644303333E1	4.769597662E2	5.372016711E2
7.645971667E1	4.861675357E2	5.271308982E2
7.647640000E1	5.001813934E2	5.130247812E2
7.649308333E1	5.185236657E2	4.950060350E2
7.650976667E1	5.419122577E2	4.748274016E2
7.652645000E1	5.719111387E2	4.509767905E2
7.654313333E1	6.060745025E2	4.267318082E2
7.655981667E1	6.478585197E2	4.014391532E2
7.657650000E1	6.928073842E2	3.785491044E2
7.659318333E1	7.440719962E2	3.569842626E2
7.660986667E1	7.996473246E2	3.390829449E2
7.662655000E1	8.579212300E2	3.251886640E2
7.664323333E1	9.179628037E2	3.168886128E2
7.665991667E1	9.795856059E2	3.132364829E2
7.667660000E1	1.039681906E3	3.152868459E2
7.669328333E1	1.098150795E3	3.228800794E2
7.670996667E1	1.154775956E3	3.349373964E2
7.672665000E1	1.207458829E3	3.506856783E2
7.674333333E1	1.255300638E3	3.688728248E2
7.676001667E1	1.298260933E3	3.889852551E2
7.677670000E1	1.336182203E3	4.092170013E2
7.679338333E1	1.368751989E3	4.306310200E2
7.681006667E1	1.396772087E3	4.492656221E2
7.682675000E1	1.419212962E3	4.670173373E2
7.684343333E1	1.437034857E3	4.826303027E2
7.686011667E1	1.449871148E3	4.931917064E2
7.687680000E1	1.458203907E3	5.008797644E2
7.689348333E1	1.461506245E3	5.045799167E2
7.691016667E1	1.460817422E3	5.031988346E2
7.692685000E1	1.455196776E3	4.988196061E2
7.694353333E1	1.445284496E3	4.891776362E2
7.696021667E1	1.430301889E3	4.769141463E2
7.697690000E1	1.410589723E3	4.608896467E2
7.699358333E1	1.385482488E3	4.426608000E2
7.701026667E1	1.354862849E3	4.213289283E2
7.702695000E1	1.319114030E3	4.006525740E2
7.704363333E1	1.277713472E3	3.791308270E2
7.706031667E1	1.231085979E3	3.592100262E2
7.707700000E1	1.181192133E3	3.428399275E2
7.709368333E1	1.126943696E3	3.289489237E2
7.711036667E1	1.069339478E3	3.192414383E2
7.712705000E1	1.011388096E3	3.149693636E2
7.714373333E1	9.530582801E2	3.150964615E2
7.716041667E1	8.952277257E2	3.205767872E2
7.717710000E1	8.389225106E2	3.302937351E2
7.719378333E1	7.867370560E2	3.435934624E2
7.721046667E1	7.370427337E2	3.604608253E2
7.722715000E1	6.918471313E2	3.793511232E2
7.724383333E1	6.521495541E2	3.993247641E2
7.726051667E1	6.160531402E2	4.206580255E2
7.727720000E1	5.856921779E2	4.409257085E2
7.729388333E1	5.609197962E2	4.593703399E2
7.731056667E1	5.390777197E2	4.767794841E2
7.732725000E1	5.231964950E2	4.908821286E2
7.734393333E1	5.125232157E2	5.009755441E2
7.736061667E1	5.064842100E2	5.073264125E2
7.737730000E1	5.023915757E2	5.108981435E2
7.739398333E1	5.043121050E2	5.090673558E2
7.741066667E1	5.103288100E2	5.031733023E2
7.742735000E1	5.210100815E2	4.932859080E2
7.744403333E1	5.346977945E2	4.808969951E2
7.746071667E1	5.543830169E2	4.648582407E2
7.747740000E1	5.795454228E2	4.453423080E2
7.749408333E1	6.090484875E2	4.250899516E2
7.751076667E1	6.425333453E2	4.047997240E2
7.752745000E1	6.829431517E2	3.831769780E2
7.754413333E1	7.269043995E2	3.634184714E2
7.756081667E1	7.753590199E2	3.468486667E2
7.757750000E1	8.271310802E2	3.326103460E2
7.759418333E1	8.811480812E2	3.213977659E2
