mass_A
t	x	y
2.535866667E0	9.618032707E2	3.099916319E2
2.552550000E0	9.619544677E2	3.099860260E2
2.569233333E0	9.621260123E2	3.099563563E2
2.585916667E0	9.621834134E2	3.099503997E2
2.602600000E0	9.622342051E2	3.099220986E2
2.619283333E0	9.620728149E2	3.099578719E2
2.635966667E0	9.620649218E2	3.099922115E2
2.652650000E0	9.620183349E2	3.100080860E2
2.669333333E0	9.621930353E2	3.099964956E2
2.686016667E0	9.621685722E2	3.099959045E2
2.702700000E0	9.623170710E2	3.099769900E2
2.719383333E0	9.626725622E2	3.099663662E2
2.736066667E0	9.629621205E2	3.099796567E2
2.752750000E0	9.631241160E2	3.100037945E2
2.769433333E0	9.634862718E2	3.099438504E2
2.786116667E0	9.632463474E2	3.098973132E2
2.802800000E0	9.635444628E2	3.099710427E2
2.819483333E0	9.643282840E2	3.099925241E2
2.836166667E0	9.644145092E2	3.100341273E2
2.852850000E0	9.648906911E2	3.100412720E2
2.869533333E0	9.657290785E2	3.100138477E2
2.886216667E0	9.664633536E2	3.099341185E2
2.902900000E0	9.665547999E2	3.099542721E2
2.919583333E0	9.669663147E2	3.100180392E2
2.936266667E0	9.668868494E2	3.100212769E2
2.952950000E0	9.676739023E2	3.100134166E2
2.969633333E0	9.679279495E2	3.100272497E2
2.986316667E0	9.682293448E2	3.100290973E2
3.003000000E0	9.686070675E2	3.100335314E2
3.019683333E0	9.691034050E2	3.100225474E2
3.036366667E0	9.690405860E2	3.100520585E2
3.053050000E0	9.690774469E2	3.100387764E2
3.069733333E0	9.689314817E2	3.101020324E2
3.086416667E0	9.688429921E2	3.100270603E2
3.103100000E0	9.687121479E2	3.100699405E2
3.119783333E0	9.684818030E2	3.100847463E2
3.136466667E0	9.676350366E2	3.100913294E2
3.153150000E0	9.676733257E2	3.100187015E2
3.169833333E0	9.670649447E2	3.099808030E2
3.186516667E0	9.667520970E2	3.099795344E2
3.203200000E0	9.663445885E2	3.099990787E2
3.219883333E0	9.659065709E2	3.100014852E2
3.236566667E0	9.652239198E2	3.100147906E2
3.253250000E0	9.645681730E2	3.099819953E2
3.269933333E0	9.645660580E2	3.099802596E2
3.286616667E0	9.632917866E2	3.099546884E2
3.303300000E0	9.625376499E2	3.098918505E2
3.319983333E0	9.619239453E2	3.100042216E2
3.336666667E0	9.613135477E2	3.099790845E2
3.353350000E0	9.610893201E2	3.099389351E2
3.370033333E0	9.607989507E2	3.100169491E2
